type,title,link
VIDEO,Watch,https://www.youtube.com/watch?v=-YcdtB39EEg
VIDEO,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 A is for Autumn 🍎, Snoopy Chill | Study | Work Jazz [No AI]",https://www.youtube.com/watch?v=a6QpYqlfmlI&pp=0gcJCRoMAYcqIYzv
VIDEO,The World's Safest Market Is Breaking,https://www.youtube.com/watch?v=0ll9rEtoRrs&pp=ugUEEgJlbg%3D%3D
VIDEO,Sam Altman on OpenAI’s next model and the AI backlash,https://www.youtube.com/watch?v=VeizK1M7V7E
VIDEO,"Wall Street Bets, Personal Finance Is Broken: Must-Read Books",https://www.youtube.com/watch?v=rtpsaER5kQk&pp=ugUEEgJlbg%3D%3D
VIDEO,Watch,https://www.youtube.com/watch?v=457v2CDkQ4k
VIDEO,Roman Safiullin vs. Carlos Alcaraz Extended Highlights | 2026 US Open Round 1,https://www.youtube.com/watch?v=w1-eIRgUCfQ
VIDEO,lofi hip hop mix 📚 beats to relax/study to (Part 1),https://www.youtube.com/watch?v=CFGLoQIhmow
VIDEO,How AI Data Centers Are Making Everything More Expensive,https://www.youtube.com/watch?v=-4dc6907JYY
VIDEO,She Knows the 250 People Building AI. Here's What They Actually Believe.,https://www.youtube.com/watch?v=hY6S__xeCjg&pp=ugUEEgJlbg%3D%3D
VIDEO,"Duppler: Bessent's AI Outlook Is Optimistic, But Plausible",https://www.youtube.com/watch?v=cCamRA1a_x4&pp=ugUEEgJlbg%3D%3D
VIDEO,The Chosen: SEASON 6 TEASER,https://www.youtube.com/watch?v=nymMxV88QyY&pp=ugUEEgJlbg%3D%3D
VIDEO,The Sydney 2000 Olympics - The Complete Film | Olympic History,https://www.youtube.com/watch?v=7xHMsL6sSLQ
VIDEO,John Ternus Takes The Helm At Apple — Here's What To Expect,https://www.youtube.com/watch?v=mF0OL_YJa3g&pp=ugUEEgJlbg%3D%3D
VIDEO,"Slow Pour. – Vintage Noir Jazz for Work, Reading & Relaxation",https://www.youtube.com/watch?v=_qDqnjwNhqY
VIDEO,Why is Everyone So Wrong About AI Water Use??,https://www.youtube.com/watch?v=H_c6MWk7PQc
VIDEO,Watch,https://www.youtube.com/watch?v=v-Gu7EJks4E
VIDEO,"In 2007, Elon Musk Predicted Everything (Rare Lost Interview)",https://www.youtube.com/watch?v=xyCOvT1Y5YQ
VIDEO,Slow Jazz — Music for Quiet Souls & Peaceful Moments,https://www.youtube.com/watch?v=Qz3nLOiyCv8
VIDEO,Dog sucker punches dude in the face,https://www.youtube.com/watch?v=Bj6_Wd3s4Ds
VIDEO,Tiny data centers could bring AI computing into neighborhoods,https://www.youtube.com/watch?v=5qrm2gVHYEQ&pp=0gcJCRoMAYcqIYzv
VIDEO,Economist Answers U.S. Economy Questions,https://www.youtube.com/watch?v=Ot8lg2nC4Ao
VIDEO,"3-HOUR STUDY WITH ME | Hyper Efficient, Doctor, Focus Music, Pomodoro 50-10",https://www.youtube.com/watch?v=74cOUSKXMz0
SHORT,Shorts,https://www.youtube.com/shorts/
SHORT,Putin Is Richer Than Me,https://www.youtube.com/shorts/1OPVdXAZRgM
SHORT,The foreign teacher that teaches the hardest class at the school,https://www.youtube.com/shorts/Q78MUQYNFgo
SHORT,What Meta’s $17 Billion Settlement Means,https://www.youtube.com/shorts/Wm1dAyIECiU
SHORT,"Elon Musk Says UK, Germany in 'Strong Position' on AI",https://www.youtube.com/shorts/iD41sEARoCo
SHORT,Who Wants To Try This? 😅,https://www.youtube.com/shorts/SNohWfTin78
SHORT,Carlos Alcaraz that's RIDICULOUS 😱,https://www.youtube.com/shorts/5vXpjq1vBuQ
SHORT,Elon Musk vs SQL 😭,https://www.youtube.com/shorts/Ah_LMYqd2CE
SHORT,Three Key Challenges Facing New Apple CEO John Ternus,https://www.youtube.com/shorts/tPtCINSibUY
SHORT,How South Korea got people having kids again | Meanwhile in Asia,https://www.youtube.com/shorts/RRhQHDXK9jM
SHORT,The Era of Easy AI Progress Is Ending - Ilya Sutskever,https://www.youtube.com/shorts/pLHWn5SQvLM
SHORT,Mamdani announces one-year ban on AI in public schools,https://www.youtube.com/shorts/gN00hrbdIb0
SHORT,Family identifies Texas man among those killed in Grand Canyon flood,https://www.youtube.com/shorts/1K-lbLCDaH8
SHORT,Police respond to reported shooting at Virginia elementary school,https://www.youtube.com/shorts/AtAKY1Kb0Ls
